time,open,high,low,close
1653472800.0,1856.883,1856.883,1854.133,1854.198
1653473700.0,1854.258,1855.228,1853.0,1853.993
1653474600.0,1853.988,1855.518,1853.558,1854.043
1653475500.0,1854.043,1854.043,1851.323,1851.998
1653476400.0,1851.978,1854.773,1851.118,1854.558
1653477300.0,1854.518,1855.588,1854.118,1854.128
1653478200.0,1854.268,1855.768,1853.428,1855.728
1653479100.0,1855.738,1856.248,1854.538,1855.028
1653480000.0,1855.048,1855.858,1853.568,1853.798
1653480900.0,1853.808,1856.663,1853.348,1855.288
1653481800.0,1855.256,1856.978,1854.498,1854.558
1653482700.0,1854.538,1854.658,1850.898,1852.473
1653483600.0,1852.473,1852.533,1847.699,1850.898
1653484500.0,1850.868,1853.453,1850.288,1852.578
1653485400.0,1852.578,1854.258,1850.264,1850.848
1653486300.0,1850.838,1851.808,1848.708,1849.398
1653487200.0,1849.398,1851.258,1846.919,1850.175
1653488100.0,1850.175,1850.923,1848.363,1848.733
1653489000.0,1848.703,1850.701,1848.113,1850.353
1653489900.0,1850.373,1850.933,1849.433,1850.383
1653490800.0,1850.378,1850.568,1848.674,1849.788
1653491700.0,1849.803,1850.288,1848.238,1849.388
1653492600.0,1849.373,1849.766,1847.383,1847.574
1653493500.0,1847.574,1848.273,1842.138,1845.698
1653494400.0,1845.693,1847.073,1845.348,1846.358
1653495300.0,1846.353,1846.528,1845.333,1846.463
1653496200.0,1846.468,1846.513,1843.308,1843.765
1653497100.0,1843.765,1845.393,1843.765,1845.014
1653498000.0,1845.014,1845.808,1843.363,1845.568
1653498900.0,1845.558,1848.348,1845.548,1848.204
1653499800.0,1848.204,1848.983,1846.464,1847.348
1653500700.0,1847.338,1847.978,1846.798,1847.516
1653501600.0,1847.556,1852.958,1847.496,1852.563
1653502500.0,1852.588,1852.788,1850.908,1850.908
1653503400.0,1850.908,1851.708,1850.094,1851.588
1653504300.0,1851.598,1854.588,1851.073,1854.558
1653505200.0,1854.558,1855.508,1853.904,1855.293
1653506100.0,1855.343,1855.563,1853.828,1855.388
1653507000.0,1855.398,1856.218,1854.863,1855.953
1653507900.0,1855.943,1856.133,1854.418,1854.968
1653508800.0,1855.098,1855.238,1853.848,1853.998
1653509700.0,1853.998,1854.063,1853.488,1853.514
1653510600.0,1853.558,1853.828,1853.348,1853.458
1653511500.0,1853.458,1853.768,1852.888,1853.218
1653516000.0,1852.508,1853.348,1851.898,1853.148
1653516900.0,1853.193,1854.008,1853.183,1853.588
1653517800.0,1853.628,1854.108,1853.191,1853.218
1653518700.0,1853.198,1853.578,1852.964,1853.048
1653519600.0,1853.048,1853.708,1852.988,1853.268
1653520500.0,1853.268,1853.378,1852.868,1852.978
1653521400.0,1852.978,1853.938,1852.848,1853.688
1653522300.0,1853.698,1854.068,1853.498,1853.908
1653523200.0,1853.908,1854.218,1852.094,1852.198
1653524100.0,1852.318,1853.773,1852.138,1853.538
1653525000.0,1853.608,1854.068,1853.268,1853.778
1653525900.0,1853.798,1853.988,1852.083,1852.308
1653526800.0,1852.318,1853.078,1852.048,1852.864
1653527700.0,1852.788,1853.128,1852.324,1852.834
1653528600.0,1852.878,1853.048,1851.984,1852.014
1653529500.0,1852.014,1852.508,1849.068,1849.488
1653530400.0,1849.498,1850.768,1849.183,1849.398
1653531300.0,1849.418,1850.378,1849.233,1849.938
1653532200.0,1850.108,1851.268,1849.948,1850.648
1653533100.0,1850.658,1852.518,1850.658,1851.908
1653534000.0,1851.848,1852.118,1849.558,1849.863
1653534900.0,1849.863,1850.538,1848.728,1850.338
1653535800.0,1850.378,1851.018,1850.288,1850.488
1653536700.0,1850.468,1850.848,1850.318,1850.688
1653537600.0,1850.688,1851.448,1850.183,1850.218
1653538500.0,1850.188,1850.313,1848.048,1848.158
1653539400.0,1848.158,1848.393,1845.418,1846.308
1653540300.0,1846.308,1846.488,1844.148,1844.988
1653541200.0,1844.988,1846.028,1844.508,1845.293
1653542100.0,1845.283,1845.678,1844.728,1845.663
1653543000.0,1845.598,1845.988,1844.248,1844.853
1653543900.0,1844.848,1844.988,1842.753,1843.563
