counter,time,open,high,low,close,tick_volume,spread,real_volume
0,1739557800,2893.31,2895.93,2891.11,2892.29,1399,0,0
1,1739558700,2892.34,2896.91,2888.4,2895.8,1354,4,0
2,1739559600,2896.02,2897.33,2892.58,2893.71,1347,0,0
3,1739560500,2893.65,2895.19,2892.9,2893.34,1254,3,0
4,1739561400,2892.95,2894.09,2885.72,2887.45,1233,0,0
5,1739562300,2887.32,2888.61,2885.38,2887,1373,1,0
6,1739563200,2887.27,2887.51,2883.73,2884.22,1197,0,0
7,1739564100,2884.01,2887.95,2884.01,2886.14,1232,5,0
8,1739565000,2886.35,2886.64,2882.13,2883.16,1206,2,0
9,1739565900,2883.3,2884.78,2882.21,2883.72,968,1,0
10,1739566800,2883.75,2885.84,2883.72,2884.79,1020,2,0
11,1739567700,2884.57,2884.83,2881.93,2883.06,934,0,0
12,1739568600,2883.15,2883.2,2881.67,2882.41,984,0,0
13,1739569500,2882.34,2882.61,2878.69,2880.57,976,0,0
14,1739570400,2880.46,2881.32,2880.16,2880.48,1022,0,0
15,1739571300,2880.54,2882.92,2879.82,2882.29,1005,0,0
16,1739572200,2882.24,2882.29,2877.04,2878.93,1274,0,0
17,1739573100,2878.93,2886.27,2878.07,2885.49,1411,0,0
18,1739574000,2885.33,2885.86,2883.43,2884.02,645,5,0
19,1739574900,2884.02,2884.32,2882.62,2883.61,507,0,0
20,1739575800,2883.62,2883.77,2882.38,2883.18,342,0,0
21,1739576700,2883.07,2883.75,2882.76,2883.11,291,12,0
22,1739754000,2893.78,2893.93,2889.74,2893.48,549,30,0
23,1739754900,2892.85,2893.9,2880.34,2882.8,1054,0,0
24,1739755800,2882.77,2882.77,2878.94,2881.28,771,0,0
25,1739756700,2881.11,2881.73,2878.12,2879.37,694,0,0
26,1739757600,2879.47,2887.79,2879.33,2885.57,666,0,0
27,1739758500,2885.59,2888.3,2881.86,2882.14,560,0,0
28,1739759400,2882.16,2887.16,2881.93,2884.7,591,0,0
29,1739760300,2884.84,2885.18,2883.2,2883.58,638,0,0
30,1739761200,2883.48,2889.09,2882.21,2888.28,1290,0,0
31,1739762100,2888.49,2891.3,2887.27,2890.68,1090,6,0
32,1739763000,2890.7,2896.31,2890.54,2894.83,1123,2,0
33,1739763900,2894.79,2896.38,2892.05,2895.36,1118,0,0
34,1739764800,2895.54,2897.81,2893.92,2897.66,1092,1,0
35,1739765700,2897.6,2897.64,2894.48,2896.37,709,13,0
36,1739766600,2896.44,2899.79,2894.02,2898.21,957,8,0
37,1739767500,2898.36,2899.33,2896.73,2899.29,965,11,0
38,1739768400,2899.2,2900.49,2897.67,2900.42,890,10,0
39,1739769300,2900.48,2901.15,2899.05,2901.1,892,1,0
40,1739770200,2900.95,2903.81,2900.64,2902.92,684,5,0
41,1739771100,2902.99,2904.42,2902.93,2903.35,725,9,0
42,1739772000,2903.2,2904.72,2902.36,2903.36,761,0,0
43,1739772900,2903.36,2904.88,2902.88,2903.89,520,0,0
44,1739773800,2903.69,2904,2900.38,2901.59,598,2,0
45,1739774700,2901.57,2901.65,2898.46,2899.24,957,8,0
46,1739775600,2899.27,2900.75,2898.89,2900.55,899,12,0
47,1739776500,2900.53,2905.25,2899.54,2903.23,845,6,0
48,1739777400,2903.35,2903.76,2899.76,2901.97,1026,15,0
49,1739778300,2901.96,2902.65,2895.78,2896.07,1089,10,0
50,1739779200,2895.95,2896.66,2890.64,2892.89,1166,0,0
51,1739780100,2892.87,2894.11,2888.16,2889.64,938,0,0
52,1739781000,2889.64,2896.12,2889.1,2895.87,1028,11,0
